Hazard,Type,Occupancy,SpecificOccupId,Source,Description,Stories,Comment,DefaultFn,Editable,Selected,-4 ft,-3 ft,-2 ft,-1 ft,0 ft,1 ft,2 ft,3 ft,4 ft,5 ft,6 ft,7 ft,8 ft,9 ft,10 ft,11 ft,12 ft,13 ft,14 ft,15 ft,16 ft,17 ft,18 ft,19 ft,20 ft,21 ft,22 ft,23 ft,24 ft,ID,Basement,HazardRiverine,HazardCV,HazardCA,SortOrder
riverine,structure,AGR1 ,A1LN ,USACE - Galveston,"Average Agriculture, structure",Low Rise,,1,,,0,0,0,0,0,6,11,15,19,25,30,35,41,46,51,57,63,70,75,79,82,84,87,89,90,92,93,95,96,616,,1,1,1,451
riverine,structure,AGR1 ,A1LB ,USACE - Galveston,"Average Agriculture, structure",Low Rise,,1,,,0,0,0,0,0,6,11,15,19,25,30,35,41,46,51,57,63,70,75,79,82,84,87,89,90,92,93,95,96,616,1,1,1,1,452
riverine,structure,AGR1 ,A1MN ,USACE - Galveston,"Average Agriculture, structure",Mid Rise,,1,,,0,0,0,0,0,6,11,15,19,25,30,35,41,46,51,57,63,70,75,79,82,84,87,89,90,92,93,95,96,616,,1,1,1,453
riverine,structure,AGR1 ,A1MB ,USACE - Galveston,"Average Agriculture, structure",Mid Rise,,1,,,0,0,0,0,0,6,11,15,19,25,30,35,41,46,51,57,63,70,75,79,82,84,87,89,90,92,93,95,96,616,1,1,1,1,454
riverine,structure,AGR1 ,A1HN ,USACE - Galveston,"Average Agriculture, structure",High Rise,,1,,,0,0,0,0,0,6,11,15,19,25,30,35,41,46,51,57,63,70,75,79,82,84,87,89,90,92,93,95,96,616,,1,1,1,455
riverine,structure,AGR1 ,A1HB ,USACE - Galveston,"Average Agriculture, structure",High Rise,,1,,,0,0,0,0,0,6,11,15,19,25,30,35,41,46,51,57,63,70,75,79,82,84,87,89,90,92,93,95,96,616,1,1,1,1,456
riverine,structure,COM1 ,C1LN ,USACE - Galveston,"Average Retail, Structure",Low Rise,,1,,,0,0,0,0,1,9,14,16,18,20,23,26,30,34,38,42,47,51,55,58,61,64,67,69,71,74,76,78,80,217,,1,1,1,355
riverine,structure,COM1 ,C1LB ,USACE - Galveston,"Average Retail, Structure",Low Rise,,1,,,0,0,0,0,1,9,14,16,18,20,23,26,30,34,38,42,47,51,55,58,61,64,67,69,71,74,76,78,80,217,1,1,1,1,356
riverine,structure,COM1 ,C1MN ,USACE - Galveston,"Average Retail, Structure",Mid Rise,,1,,,0,0,0,0,1,9,14,16,18,20,23,26,30,34,38,42,47,51,55,58,61,64,67,69,71,74,76,78,80,217,,1,1,1,357
riverine,structure,COM1 ,C1MB ,USACE - Galveston,"Average Retail, Structure",Mid Rise,,1,,,0,0,0,0,1,9,14,16,18,20,23,26,30,34,38,42,47,51,55,58,61,64,67,69,71,74,76,78,80,217,1,1,1,1,358
